Chemical,Cell line,CMap dose,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100
biotin,MCF7,0.0000164,0.006816,0.006816,0.006816,0.006816,0.01318,0.006816,0.01318,0.006816,0.006816,0.006816,0.006816,0.006816,0.01318,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.04503,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.02592,0.006816,0.006816,0.006816,0.006816,0.02592,0.006816,0.06413,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.01318,0.006816,0.006816,0.07687,0.006816,0.06413,0.006816,0.006816,0.006816,0.006816,0.02592,0.006816,0.01318,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.01318,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816,0.006816
biotin,PC3,0.0000164,0.00002662,0.00002662,0.00002662,0.00002662,0.00002662,0.00002662,0.00002662,0.00002662,0.00002662,0.0001012,0.04775,0.000151,0.0001261,0.001618,0.0002007,0.00002662,0.4461,0.00002662,0.00005149,0.00002662,0.03704,0.01291,0.01443,0.00002662,0.00002662,0.00002662,0.00005149,0.001817,0.001718,0.00002662,0.00007636,0.0001261,0.00002662,0.000151,0.00002662,0.003633,0.00007636,0.00002662,0.00002662,0.00007636,0.00002662,0.00002662,0.00002662,0.0001012,0.00002662,0.00002662,0.00007636,0.07506,0.00002662,0.0002256,0.0001012,0.02582,0.00002662,0.0001012,0.00005149,0.00002662,0.00002662,0.00002662,0.00002662,0.00002662,0.0002505,0.002066,0.00002662,0.00002662,0.00002662,0.2388,0.00002662,0.00002662,0.01895,0.00002662,0.04499,0.00002662,0.00002662,0.00002662,0.00002662,0.005473,0.0004494,0.00007636,0.00002662,0.01619,0.00002662,0.00002662,0.0001012,0.00005149,0.00002662,0.00002662,0.00002662,0.00005149,0.0001012,0.00002662,0.00002662,0.00002662,0.0006235,0.00002662,0.00002662,0.0004494,0.00005149,0.00005149,0.00002662,0.0001261
bisacodyl,HL60,0.000011,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.0314,0.01195,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.05474,0.004164,0.01584,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.01584,0.004164,0.004164,0.004164,0.004164,0.03918,0.004164,0.008055,0.04307,0.004164,0.004164,0.0314,0.01584,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.04307,0.008055,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.008055,0.004164,0.07809,0.004164,0.004164,0.008055,0.004164,0.004164,0.02362,0.1559,0.008055,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164,0.01584,0.004164,0.004164,0.004164,0.04307,0.004164,0.004164,0.004164,0.01195,0.004164,0.004164,0.004164,0.004164,0.004164,0.004164
bisacodyl,MCF7,0.000011,0.00007881,0.00002747,0.00002747,0.00002747,0.00002747,0.0001045,0.00005314,0.00002747,0.00005314,0.001619,0.03337,0.0002328,0.0006179,0.00005314,0.2154,0.0001045,0.0001558,0.00002747,0.00005314,0.00002747,0.0004125,0.00002747,0.00005314,0.0001045,0.00002747,0.0001045,0.0001045,0.0003098,0.00007881,0.0006949,0.00005314,0.0002328,0.00002747,0.0002072,0.00002747,0.00002747,0.0002328,0.0005409,0.00002747,0.0007205,0.00002747,0.00002747,0.00002747,0.00002747,0.00002747,0.00005314,0.01345,0.03268,0.00002747,0.00005314,0.00002747,0.00002747,0.00002747,0.0001045,0.00002747,0.03255,0.00002747,0.00002747,0.00002747,0.00005314,0.0001301,0.001439,0.00005314,0.00007881,0.00002747,0.00005314,0.00007881,0.00005314,0.0007462,0.00002747,0.00002747,0.00007881,0.00002747,0.00002747,0.00002747,0.00002747,0.00002747,0.0001045,0.00002747,0.5404,0.0003098,0.00002747,0.00002747,0.00002747,0.00005314,0.00005314,0.0001045,0.00002747,0.00002747,0.06933,0.00002747,0.009602,0.00007881,0.00002747,0.0002842,0.001824,0.00357,0.00002747,0.03561,0.00005314
bisacodyl,PC3,0.000011,0.0002413,0.0001061,0.00003108,0.00001607,0.00001607,0.0003163,0.00003108,0.0001362,0.00479,0.00001607,0.00004609,0.001758,0.02078,0.00001607,0.05992,0.00004609,0.00004609,0.00003108,0.0001061,0.00001607,0.01931,0.00003108,0.00001607,0.00003108,0.00006111,0.00004609,0.0004815,0.0002413,0.00003108,0.1147,0.2533,0.00004609,0.00001607,0.001037,0.00001607,0.00001607,0.00006111,0.0001212,0.00001607,0.0003464,0.00001607,0.00001607,0.00006111,0.00003108,0.00003108,0.00006111,0.0002863,0.002118,0.0001662,0.00001607,0.00001607,0.00001607,0.00001607,0.0001812,0.00001607,0.1028,0.0001061,0.00001607,0.0001362,0.00003108,0.00001607,0.00001607,0.00001607,0.00007612,0.01799,0.00001607,0.0001061,0.00009113,0.00006111,0.00004609,0.00003108,0.00001607,0.00001607,0.00003108,0.00003108,0.00006111,0.0004815,0.001367,0.00001607,0.1726,0.002869,0.00001607,0.00006111,0.0003464,0.0001812,0.00007612,0.00007612,0.00001607,0.00006111,0.0005716,0.00001607,0.0007818,0.217,0.00001607,0.00003108,0.00009113,0.00001607,0.0001212,0.00003108,0.00006111
boldine,HL60,0.0000122,0.0002116,0.0002116,0.0002116,0.0002116,0.0002116,0.0004094,0.0002116,0.0002116,0.0002116,0.0002116,0.001398,0.0006071,0.0002116,0.001794,0.0002116,0.0008049,0.001398,0.0002116,0.0002116,0.1806,0.0002116,0.0002116,0.1145,0.0004094,0.0002116,0.0008049,0.0002116,0.0006071,0.0002116,0.0004094,0.002387,0.0004094,0.0004094,0.0002116,0.0002116,0.0004094,0.0002116,0.0004094,0.0002116,0.001003,0.0002116,0.0002116,0.0004094,0.08208,0.0002116,0.0002116,0.0012,0.0004094,0.0002116,0.003376,0.003178,0.0004094,0.0002116,0.0002116,0.0002116,0.0002116,0.0002116,0.0002116,0.0002116,0.0002116,0.1461,0.0002116,0.0002116,0.0002116,0.0002116,0.004167,0.0002116,0.0002116,0.001003,0.0004094,0.004958,0.001398,0.0002116,0.0002116,0.0002116,0.422,0.0004094,0.0004094,0.001003,0.0012,0.0002116,0.001003,0.0002116,0.0002116,0.0002116,0.0002116,0.0002116,0.0004094,0.0004094,0.001003,0.0002116,0.0002116,0.0002116,0.0002116,0.0002116,0.0002116,0.0002116,0.001794,0.0002116,0.0002116
boldine,MCF7,0.0000122,0.0001344,0.3956,0.0009781,0.002211,0.001562,0.00006946,0.0001344,0.01467,0.0001993,0.003574,0.0001993,0.00006946,0.005457,0.00006946,0.001562,0.0001344,0.0001344,0.1041,0.00006946,0.00006946,0.00006946,0.00006946,0.0001344,0.0005238,0.0008483,0.00006946,0.0002642,0.0001993,0.00006946,0.0001344,0.000394,0.0001344,0.00006946,0.000394,0.00006946,0.00006946,0.00006946,0.0005238,0.0005887,0.0007185,0.0001344,0.08373,0.07646,0.00006946,0.02045,0.000394,0.002146,0.00006946,0.0001993,0.00006946,0.00006946,0.00006946,0.0003291,0.0003291,0.002341,0.0001344,0.001562,0.01026,0.004678,0.002082,0.00006946,0.02551,0.0001344,0.0003291,0.00006946,0.00006946,0.0004589,0.00006946,0.00006946,0.00006946,0.00006946,0.0003291,0.0003291,0.001303,0.0002642,0.00006946,0.00006946,0.000394,0.001173,0.0003291,0.0002642,0.0002642,0.001822,0.0001344,0.0009781,0.02571,0.00006946,0.00006946,0.0001344,0.1398,0.00006946,0.00006946,0.0001344,0.0001993,0.00006946,0.004288,0.05251,0.00006946,0.00006946,0.00006946
boldine,PC3,0.0000122,0.0004036,0.0001027,0.1131,0.00003578,0.000738,0.0001361,0.1032,0.0009051,0.00003578,0.00006922,0.000203,0.0004036,0.00006922,0.00006922,0.0002364,0.0004036,0.0001027,0.00003578,0.00003578,0.0003367,0.0001027,0.00003578,0.00003578,0.04534,0.00006922,0.00003578,0.00003578,0.00006922,0.0001027,0.00006922,0.3445,0.0009051,0.00003578,0.0008048,0.00003578,0.0002698,0.00003578,0.00003578,0.00003578,0.00006922,0.00003578,0.00006922,0.00006922,0.00003578,0.00006922,0.0002698,0.00003578,0.0003033,0.0001027,0.00003578,0.00003578,0.00003578,0.00006922,0.0003033,0.00003578,0.1831,0.00003578,0.00006922,0.0003702,0.0001027,0.0003033,0.0001027,0.00582,0.00003578,0.0006376,0.00003578,0.0005708,0.00006922,0.00003578,0.00006922,0.00003578,0.0001695,0.0001361,0.0004705,0.00003578,0.00006922,0.0003033,0.00003578,0.0001027,0.0001027,0.0001361,0.0001361,0.0006042,0.00006922,0.00003578,0.1209,0.00006922,0.00003578,0.0007714,0.0004036,0.001574,0.00003578,0.0003033,0.00003578,0.00003578,0.0001361,0.00003578,0.06688,0.00003578,0.0001695
bromocriptine,PC3,0.0000054,0.00002311,0.0005414,0.2535,0.0003902,0.0002607,0.00002311,0.001535,0.0000879,0.0000879,0.00002311,0.00004471,0.00002311,0.00004471,0.00002311,0.00002311,0.00002311,0.00002311,0.00002311,0.00002311,0.00002311,0.00002311,0.00002311,0.00002311,0.0004334,0.0001095,0.0003254,0.0000663,0.00002311,0.00002311,0.0000663,0.00002311,0.00002311,0.00004471,0.00002311,0.00004471,0.00002311,0.00004471,0.00004471,0.0000879,0.00002311,0.0000879,0.0000663,0.002118,0.00002311,0.00002311,0.205,0.00002311,0.00002311,0.0002607,0.00002311,0.00002311,0.00002311,0.00002311,0.00002311,0.0000663,0.0001311,0.0001095,0.05824,0.00004471,0.00002311,0.00002311,0.00004471,0.00002311,0.06904,0.006134,0.00002311,0.002442,0.00002311,0.00002311,0.00002311,0.00002311,0.001902,0.00002311,0.0000663,0.001513,0.00002311,0.00002311,0.00002311,0.00004471,0.00002311,0.00004471,0.001103,0.00002311,0.0001095,0.0001095,0.392,0.00002311,0.00002311,0.00002311,0.0001095,0.00004471,0.0001527,0.00002311,0.00002311,0.00002311,0.00002311,0.00002311,0.00002311,0.00002311,0.00002311
bromocriptine,MCF7,0.0000054,0.0002954,0.0001527,0.0001527,0.0002954,0.005148,0.0001527,0.0001527,0.0001527,0.0008663,0.0001527,0.0001527,0.0001527,0.0001527,0.0001527,0.0001527,0.0002954,0.0004382,0.0002954,0.0001527,0.07465,0.0001527,0.0001527,0.0001527,0.0001527,0.0002954,0.001865,0.0001527,0.0004382,0.0001527,0.0001527,0.0001527,0.0004382,0.3998,0.0001527,0.1496,0.0002954,0.01542,0.0002954,0.0007236,0.0001527,0.0001527,0.0001527,0.0002954,0.0005809,0.0001527,0.0001527,0.0002954,0.0001527,0.0001527,0.001152,0.1126,0.0001527,0.0001527,0.0002954,0.0001527,0.0001527,0.0001527,0.0001527,0.0001527,0.0002954,0.0004382,0.0002954,0.0002954,0.0001527,0.0001527,0.0005809,0.0001527,0.0007236,0.0001527,0.0002954,0.06766,0.0001527,0.0001527,0.0005809,0.0002954,0.0001527,0.1296,0.0001527,0.0001527,0.0004382,0.0001527,0.0001527,0.0001527,0.0001527,0.0001527,0.0002954,0.0002954,0.0001527,0.00158,0.0001527,0.01999,0.0002954,0.0001527,0.0001527,0.0002954,0.0001527,0.0002954,0.0001527,0.0002954,0.0001527
caffeic acid,HL60,0.0000222,0.001249,0.001249,0.001249,0.002416,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.009417,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.08876,0.001249,0.00825,0.1739,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.002416,0.009417,0.001249,0.001249,0.001249,0.001249,0.04559,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.1144,0.001249,0.001249,0.001249,0.001249,0.001249,0.00825,0.002416,0.001249,0.002416,0.06192,0.001249,0.001249,0.001249,0.001249,0.002416,0.009417,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.001249,0.002416,0.001249,0.001249,0.03042,0.001249,0.3221,0.002416,0.001249
caffeic acid,PC3,0.0000222,0.00004123,0.0002724,0.000465,0.000465,0.002661,0.00004123,0.00007975,0.00004123,0.00007975,0.00004123,0.00004123,0.00004123,0.00004123,0.00007975,0.00004123,0.00004123,0.00004123,0.004664,0.00004123,0.00844,0.00004123,0.00004123,0.00004123,0.09836,0.000388,0.0001183,0.00004123,0.00004123,0.00004123,0.00007975,0.00004123,0.00004123,0.00004123,0.00004123,0.00817,0.00004123,0.0001183,0.00004123,0.003316,0.00004123,0.00004123,0.0002339,0.004356,0.00004123,0.000388,0.3022,0.00004123,0.00004123,0.00007975,0.0001568,0.00004123,0.00004123,0.00007975,0.00004123,0.0002339,0.00004123,0.000388,0.0005806,0.00007975,0.00004123,0.00007975,0.00007975,0.00004123,0.0001183,0.0001183,0.00004123,0.0001953,0.00004123,0.00004123,0.00004123,0.00004123,0.0003109,0.00007975,0.0001953,0.5437,0.00004123,0.00004123,0.00004123,0.01406,0.00004123,0.00004123,0.0001183,0.00004123,0.00004123,0.00007975,0.00004123,0.00004123,0.00004123,0.00004123,0.00004123,0.001236,0.0002724,0.00004123,0.000388,0.00004123,0.00004123,0.00004123,0.00004123,0.00004123,0.00004123
calycanthine,MCF7,0.0000116,0.00007326,0.00007326,0.00007326,0.00007326,0.00007326,0.00007326,0.00007326,0.00007326,0.00007326,0.0002786,0.00007326,0.0001417,0.0001417,0.2404,0.0001417,0.00007326,0.000484,0.00007326,0.00007326,0.0001417,0.02753,0.005345,0.001374,0.00007326,0.00007326,0.00007326,0.00007326,0.002059,0.467,0.00007326,0.00007326,0.00007326,0.0002102,0.00007326,0.0002786,0.09284,0.007741,0.00007326,0.00007326,0.0004156,0.00007326,0.00007326,0.00007326,0.000484,0.00007326,0.00007326,0.00007326,0.0006894,0.00007326,0.001032,0.0001417,0.0215,0.0001417,0.0002102,0.00007326,0.00007326,0.00007326,0.00007326,0.0002102,0.0001417,0.0009632,0.0002102,0.00007326,0.00007326,0.00007326,0.0001417,0.00007326,0.0001417,0.0001417,0.0002786,0.00007326,0.00007326,0.00007326,0.00007326,0.0001417,0.03499,0.0001417,0.00007326,0.00007326,0.002264,0.0001417,0.0001417,0.0003471,0.00007326,0.00007326,0.00007326,0.000484,0.08373,0.00007326,0.0002102,0.00007326,0.00007326,0.0002102,0.00007326,0.00007326,0.00007326,0.00007326,0.00007326,0.0001417,0.0001417
camptothecin,MCF7,0.0000114,0.0006338,0.002018,0.00001618,0.000712,0.000008367,0.07312,0.00001618,0.0206,0.000008367,0.0005009,0.0007824,0.00001618,0.00007091,0.000008367,0.04621,0.00005528,0.000008367,0.00674,0.00001618,0.000008367,0.000008367,0.000008367,0.00001618,0.000008367,0.000008367,0.00003182,0.00003964,0.00007873,0.000008367,0.01655,0.0001022,0.000024,0.00003964,0.0001725,0.000008367,0.00001618,0.000008367,0.00003182,0.000008367,0.0001022,0.000008367,0.0001256,0.001064,0.000008367,0.00011,0.00003964,0.3023,0.000008367,0.0478,0.000008367,0.00004746,0.000008367,0.00001618,0.00001618,0.02009,0.0004071,0.008413,0.000008367,0.00001618,0.000008367,0.000008367,0.06319,0.000008367,0.00176,0.000024,0.00003182,0.0001022,0.00001618,0.0002507,0.000024,0.01064,0.000008367,0.005809,0.000008367,0.00006309,0.000024,0.00003182,0.000024,0.00001618,0.000196,0.000008367,0.000008367,0.0003367,0.000024,0.000008367,0.000008367,0.000008367,0.000008367,0.000024,0.0008215,0.000008367,0.3455,0.000008367,0.000008367,0.0002351,0.0004618,0.00006309,0.00008655,0.00007873,0.02077
camptothecin,PC3,0.0000114,0.00002811,0.00004643,0.000009799,0.000009799,0.00002811,0.02884,0.000009799,0.0006966,0.000009799,0.0000739,0.0002479,0.0000739,0.0001563,0.000009799,0.03734,0.000009799,0.000009799,0.000009799,0.00003727,0.000009799,0.00001896,0.000009799,0.000009799,0.000009799,0.000009799,0.00001896,0.00001896,0.00002811,0.000009799,0.0001746,0.001914,0.0001655,0.0004585,0.0002204,0.000009799,0.000009799,0.000009799,0.000009799,0.000009799,0.00009221,0.00001896,0.000009799,0.0001655,0.000009799,0.000009799,0.000009799,0.2832,0.000009799,0.05608,0.000009799,0.00001896,0.00002811,0.000009799,0.00006474,0.06383,0.0001655,0.00002811,0.000009799,0.00001896,0.000009799,0.000009799,0.08544,0.000009799,0.00001896,0.00002811,0.00002811,0.000009799,0.00005558,0.05929,0.0001105,0.01383,0.000009799,0.0001563,0.00001896,0.000009799,0.00001896,0.0002021,0.00006474,0.000009799,0.00005558,0.00001896,0.00001896,0.00005558,0.000009799,0.00008305,0.00003727,0.00001896,0.000009799,0.000009799,0.00002811,0.000009799,0.3555,0.00005558,0.0000739,0.00008305,0.0007057,0.000009799,0.00009221,0.000009799,0.009203
canadine,HL60,0.0000118,0.0009356,0.1161,0.0004063,0.0001416,0.05254,0.0002739,0.0004063,0.004111,0.0001416,0.0004063,0.0012,0.0001416,0.0008032,0.0001416,0.0004063,0.0001416,0.0005386,0.1898,0.0002739,0.0001416,0.0005386,0.0001416,0.03719,0.0001416,0.0006709,0.0001416,0.0005386,0.0002739,0.0001416,0.0001416,0.005567,0.0004063,0.001068,0.0004063,0.0001416,0.0006709,0.0002739,0.0005386,0.0001416,0.0001416,0.0001416,0.0001416,0.0001416,0.0001416,0.0001416,0.0002739,0.001068,0.0004063,0.001862,0.0002739,0.0001416,0.0002739,0.1215,0.0001416,0.04857,0.001465,0.0002739,0.0002739,0.0002739,0.0002739,0.0001416,0.0006709,0.0001416,0.0001416,0.0001416,0.0004063,0.0002739,0.001068,0.0001416,0.0001416,0.0001416,0.0002739,0.0006709,0.0001416,0.0002739,0.0001416,0.0002739,0.0002739,0.001068,0.0001416,0.0004063,0.0001416,0.0002739,0.006361,0.0001416,0.001465,0.01642,0.0001416,0.0002739,0.0004063,0.0001416,0.0006709,0.0006709,0.1507,0.09925,0.1174,0.0001416,0.001994,0.0001416,0.0001416
canadine,MCF7,0.0000118,0.0001148,0.00003018,0.06267,0.00003018,0.00005839,0.00003018,0.006855,0.00003018,0.0002276,0.00005839,0.00003018,0.00005839,0.00003018,0.0753,0.00003018,0.0001148,0.00005839,0.00005839,0.000143,0.08055,0.00005839,0.06676,0.0001994,0.00008659,0.00003018,0.00005839,0.00003018,0.000425,0.6123,0.00003018,0.00003018,0.00008659,0.00003018,0.00003018,0.0005942,0.01864,0.0003122,0.0001712,0.00005839,0.0001148,0.00003018,0.00003018,0.00003018,0.0002276,0.00003018,0.00005839,0.00003018,0.00008659,0.00003018,0.004599,0.00003018,0.003415,0.00003018,0.00003018,0.00003018,0.00003018,0.00003018,0.0003968,0.00008659,0.00003018,0.000284,0.00008659,0.00003018,0.00005839,0.0001148,0.00003018,0.00003018,0.0001712,0.00003018,0.00003018,0.00003018,0.0001148,0.00003018,0.00003018,0.00008659,0.0001712,0.00003018,0.0002558,0.000143,0.00008659,0.00008659,0.00003018,0.00005839,0.00005839,0.00003018,0.00003018,0.0003122,0.06086,0.00005839,0.00003018,0.0003404,0.00003018,0.0001148,0.00003018,0.00003018,0.00003018,0.00003018,0.00003018,0.000143,0.00003018
canadine,PC3,0.0000118,0.00007613,0.00007613,0.2484,0.00007613,0.0009298,0.00007613,0.0001473,0.0001473,0.0003607,0.00007613,0.00007613,0.00007613,0.00007613,0.00007613,0.00007613,0.00007613,0.00007613,0.0001473,0.00007613,0.00007613,0.00007613,0.00007613,0.00007613,0.06844,0.0001473,0.00007613,0.00007613,0.00007613,0.00007613,0.00007613,0.0001473,0.00007613,0.00007613,0.0002184,0.00007613,0.00007613,0.00007613,0.00007613,0.00007613,0.0001473,0.00007613,0.00007613,0.00007613,0.00007613,0.0006452,0.0002184,0.00007613,0.00007613,0.0001473,0.00007613,0.00007613,0.00007613,0.0001473,0.00007613,0.0001473,0.1255,0.00007613,0.00007613,0.00007613,0.0002895,0.00007613,0.00007613,0.0002184,0.0001473,0.00007613,0.00007613,0.00007613,0.0002184,0.00007613,0.0001473,0.00007613,0.0002184,0.00007613,0.00007613,0.00007613,0.0001473,0.00007613,0.00007613,0.09192,0.00007613,0.00007613,0.009538,0.00007613,0.0001473,0.00007613,0.3853,0.00007613,0.00007613,0.0002184,0.00007613,0.00007613,0.00007613,0.00007613,0.06019,0.00007613,0.00007613,0.00007613,0.00007613,0.00007613,0.00007613
cantharidin,HL60,0.0000204,0.0008548,0.00006717,0.00006717,0.01464,0.00004529,0.00004529,0.0001109,0.00004529,0.00002341,0.0001109,0.0001547,0.00004529,0.08358,0.00002341,0.4259,0.00002341,0.00002341,0.00002341,0.04975,0.0001984,0.00002341,0.0004172,0.00004529,0.03225,0.001292,0.003502,0.00138,0.00002341,0.00006717,0.00004529,0.00002341,0.00002341,0.00004529,0.00002341,0.0009204,0.00004529,0.0003297,0.0003078,0.03877,0.0005047,0.0008548,0.002036,0.06656,0.00006717,0.01779,0.00383,0.0007235,0.00002341,0.00006717,0.0003297,0.0001109,0.00002341,0.0002203,0.00006717,0.005296,0.00008905,0.01431,0.00008905,0.06656,0.00008905,0.00002341,0.03048,0.00004529,0.0009204,0.00004529,0.00002341,0.01599,0.000636,0.00002341,0.006565,0.00008905,0.03026,0.00002341,0.0001328,0.0001109,0.0003516,0.00002341,0.00002341,0.00008905,0.00004529,0.00004529,0.01827,0.00004529,0.00006717,0.002868,0.0001328,0.0001328,0.0001109,0.00006717,0.05542,0.0003953,0.0002422,0.0001328,0.0008767,0.00002341,0.00004529,0.00002341,0.00002341,0.0001109,0.0001547
carbarsone,HL60,0.0000154,0.002442,0.0008514,0.0008514,0.0008514,0.0008514,0.001647,0.001647,0.0008514,0.001647,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.008011,0.0008514,0.008011,0.0008514,0.001647,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.003238,0.01676,0.001647,0.0008514,0.001647,0.0008514,0.004033,0.0008514,0.0008514,0.01517,0.0008514,0.0008514,0.009602,0.0008514,0.001647,0.0008514,0.004033,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.008011,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.001647,0.0008514,0.0008514,0.0008514,0.001647,0.0008514,0.0008514,0.003238,0.0008514,0.003238,0.0008514,0.0008514,0.0008514,0.0008514,0.144,0.0008514,0.004829,0.04142,0.0008514,0.001647,0.0008514,0.0008514,0.008807,0.0008514,0.009602,0.0008514,0.01119,0.6158,0.0008514,0.001647,0.0008514,0.0008514,0.001647,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514,0.0008514
carbarsone,MCF7,0.0000154,0.0005079,0.001457,0.006203,0.0005079,0.0009825,0.0005079,0.5539,0.0009825,0.0005079,0.0005079,0.0005079,0.005729,0.0005079,0.0005079,0.0005079,0.0009825,0.0005079,0.0005079,0.0005079,0.0005079,0.0005079,0.0005079,0.0005079,0.001932,0.001932,0.0009825,0.001457,0.0005079,0.0009825,0.0005079,0.0005079,0.0005079,0.0005079,0.0005079,0.0005079,0.0005079,0.0005079,0.0005079,0.0009825,0.0005079,0.03515,0.0005079,0.0005079,0.0005079,0.01095,0.0005079,0.0005079,0.001457,0.0009825,0.0005079,0.0005079,0.003356,0.002406,0.001457,0.01664,0.0005079,0.0005079,0.0009825,0.0005079,0.001457,0.0005079,0.0005079,0.1989,0.0005079,0.002406,0.0005079,0.02471,0.0005079,0.0005079,0.0009825,0.0005079,0.01,0.0009825,0.0009825,0.0005079,0.0005079,0.0005079,0.0005079,0.0005079,0.0005079,0.005254,0.0005079,0.0005079,0.001457,0.0005079,0.01807,0.0009825,0.0005079,0.0005079,0.0009825,0.0005079,0.0005079,0.0005079,0.04512,0.001457,0.0009825,0.0005079,0.0005079,0.0009825,0.001932
carbarsone,PC3,0.0000154,0.0005089,0.00006749,0.00006749,0.00006749,0.00006749,0.0002567,0.00006749,0.00006749,0.0001306,0.001203,0.00006749,0.000572,0.00006749,0.02321,0.0003197,0.0001306,0.01003,0.00006749,0.0001936,0.006248,0.001518,0.0006351,0.0001306,0.00006749,0.0006351,0.00006749,0.00006749,0.0005089,0.0002567,0.00006749,0.00006749,0.0001936,0.00006749,0.00006749,0.0002567,0.00006749,0.0005089,0.0006981,0.0001306,0.0003828,0.00006749,0.0001306,0.00006749,0.001644,0.00006749,0.00006749,0.0001306,0.002149,0.00006749,0.005869,0.0003197,0.09296,0.00006749,0.0001306,0.0002567,0.00006749,0.00006749,0.00341,0.00006749,0.00006749,0.0003197,0.06244,0.0001306,0.00006749,0.0001306,0.3037,0.00006749,0.0002567,0.2258,0.0002567,0.0001306,0.00006749,0.00006749,0.0001306,0.00006749,0.0002567,0.00006749,0.003473,0.00006749,0.00006749,0.0001936,0.00006749,0.0006981,0.00006749,0.00006749,0.00006749,0.003158,0.0001306,0.00006749,0.0002567,0.00006749,0.00006749,0.001581,0.00006749,0.1245,0.00006749,0.005428,0.0004459,0.0001306,0.1078
cefapirin,MCF7,0.000009,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.005169,0.005169,0.005169,0.005169,0.01483,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.02449,0.005169,0.04381,0.01483,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.04381,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.01,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.2708,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.06797,0.01483,0.005169,0.005169,0.005169,0.01483,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169
